LC_Input,FSR
1021.75,1105.0
1047.86,1105.0
995.65,1110.0
1021.75,1104.0
1021.75,1108.0
1021.75,1108.0
1021.75,1100.0
1047.86,1100.0
1021.75,1105.0
969.56,1107.0
995.65,1108.0
1021.75,1103.0
1021.75,1107.0
1021.75,1105.0
1047.86,1108.0
1073.98,1106.0
1073.98,1106.0
1047.86,1104.0
1021.75,1104.0
1047.86,1104.0
1073.98,1101.0
1073.98,1104.0
1073.98,1107.0
1047.86,1108.0
1047.86,1108.0
1047.86,1107.0
1047.86,1104.0
1047.86,1104.0
1047.86,1105.0
1047.86,1106.0
1047.86,1108.0
1047.86,1107.0
1047.86,1108.0
1021.75,1104.0
1047.86,1106.0
1047.86,1107.0
1047.86,1107.0
1073.98,1104.0
1073.98,1108.0
1073.98,1106.0
1073.98,1104.0
1047.86,1105.0
1073.98,1109.0
1073.98,1104.0
1073.98,1104.0
1073.98,1107.0
1047.86,1106.0
1073.98,1106.0
1073.98,1102.0
1073.98,1105.0
1047.86,1105.0
1047.86,1104.0
1047.86,1108.0
1047.86,1105.0
1047.86,1103.0
1047.86,1106.0
1021.75,1102.0
1047.86,1101.0
1021.75,1102.0
1021.75,1103.0
1073.98,1104.0
1047.86,1108.0
1021.75,1103.0
1073.98,1101.0
1021.75,1104.0
1021.75,1108.0
1021.75,1102.0
1047.86,1104.0
1021.75,1105.0
1021.75,1104.0
1021.75,1100.0
1021.75,1100.0
1021.75,1097.0
1047.86,1105.0
1021.75,1110.0
1047.86,1109.0
1047.86,1108.0
1073.98,1105.0
1073.98,1100.0
1073.98,1099.0
1047.86,1100.0
1047.86,1101.0
1047.86,1102.0
1021.75,1104.0
1047.86,1104.0
1073.98,1105.0
1047.86,1101.0
1021.75,1105.0
1021.75,1104.0
1047.86,1098.0
1047.86,1097.0
1047.86,1096.0
1047.86,1101.0
1047.86,1108.0
1047.86,1104.0
1047.86,1102.0
1047.86,1106.0
1047.86,1102.0
1021.75,1104.0
1047.86,1103.0
1073.98,1099.0
1047.86,1103.0
1047.86,1107.0
1073.98,1107.0
1047.86,1107.0
1021.75,1105.0
1047.86,1107.0
1047.86,1102.0
1047.86,1102.0
1100.12,1102.0
1047.86,1102.0
1047.86,1103.0
1047.86,1101.0
1047.86,1106.0
1047.86,1108.0
1047.86,1106.0
1021.75,1104.0
1047.86,1102.0
1021.75,1105.0
1047.86,1104.0
995.65,1104.0
1047.86,1105.0
1021.75,1105.0
1021.75,1105.0
1047.86,1110.0
1073.98,1100.0
1047.86,1100.0
1021.75,1101.0
1021.75,1103.0
1047.86,1102.0
1047.86,1102.0
1047.86,1107.0
1047.86,1105.0
1047.86,1107.0
1047.86,1112.0
1047.86,1106.0
1047.86,1103.0
1047.86,1106.0
1021.75,1105.0
1047.86,1103.0
1047.86,1101.0
1047.86,1101.0
1047.86,1105.0
1047.86,1108.0
1021.75,1104.0
1021.75,1105.0
995.65,1104.0
1021.75,1103.0
1021.75,1100.0
1073.98,1103.0
1047.86,1106.0
1021.75,1101.0
1047.86,1105.0
995.65,1106.0
1021.75,1108.0
1047.86,1106.0
1073.98,1103.0
1047.86,1104.0
1047.86,1106.0
1021.75,1105.0
1021.75,1101.0
1021.75,1105.0
1021.75,1101.0
1047.86,1104.0
1047.86,1104.0
1021.75,1105.0
1021.75,1105.0
1047.86,1105.0
1021.75,1098.0
1021.75,1103.0
1021.75,1104.0
1021.75,1101.0
1021.75,1103.0
1073.98,1103.0
